"Plot Title: 2"
"#","Date Time, GMT-04:00","Temp, °C (LGR S/N: 10316939, SEN S/N: 10316939)","Intensity, Lux (LGR S/N: 10316939, SEN S/N: 10316939)","Coupler Attached (LGR S/N: 10316939)","Host Connected (LGR S/N: 10316939)","Coupler Detached (LGR S/N: 10316939)","End Of File (LGR S/N: 10316939)"
1,06/09/25 12:00:00  PM,24.835,150.7,,,,
2,06/09/25 01:00:00  PM,23.581,10.8,,,,
3,06/09/25 02:00:00  PM,23.484,21.5,,,,
4,06/09/25 03:00:00  PM,23.388,10.8,,,,
5,06/09/25 04:00:00  PM,23.388,10.8,,,,
6,06/09/25 05:00:00  PM,23.100,0.0,,,,
7,06/09/25 06:00:00  PM,23.004,0.0,,,,
8,06/09/25 07:00:00  PM,22.908,32.3,,,,
9,06/09/25 08:00:00  PM,22.812,10.8,,,,
10,06/09/25 09:00:00  PM,22.621,0.0,,,,
11,06/09/25 10:00:00  PM,22.429,0.0,,,,
12,06/09/25 11:00:00  PM,22.429,0.0,,,,
13,06/10/25 12:00:00  AM,22.333,0.0,,,,
14,06/10/25 01:00:00  AM,22.333,0.0,,,,
15,06/10/25 02:00:00  AM,22.333,0.0,,,,
16,06/10/25 03:00:00  AM,22.238,0.0,,,,
17,06/10/25 04:00:00  AM,22.142,0.0,,,,
18,06/10/25 05:00:00  AM,22.046,0.0,,,,
19,06/10/25 06:00:00  AM,21.951,0.0,,,,
20,06/10/25 07:00:00  AM,21.951,0.0,,,,
21,06/10/25 08:00:00  AM,21.951,0.0,,,,
22,06/10/25 09:00:00  AM,21.951,10.8,,,,
23,06/10/25 10:00:00  AM,22.046,21.5,,,,
24,06/10/25 11:00:00  AM,29.652,16533.4,,,,
25,06/10/25 12:00:00  PM,23.388,10333.4,,,,
26,06/10/25 01:00:00  PM,24.545,5511.1,,,,
27,06/10/25 02:00:00  PM,24.738,3616.7,,,,
28,06/10/25 03:00:00  PM,24.255,3961.1,,,,
29,06/10/25 04:00:00  PM,24.931,5511.1,,,,
30,06/10/25 05:00:00  PM,24.448,3788.9,,,,
31,06/10/25 06:00:00  PM,23.966,3444.5,,,,
32,06/10/25 07:00:00  PM,24.545,1184.0,,,,
33,06/10/25 08:00:00  PM,24.738,279.9,,,,
34,06/10/25 09:00:00  PM,24.545,21.5,,,,
35,06/10/25 10:00:00  PM,24.158,0.0,,,,
36,06/10/25 11:00:00  PM,23.966,0.0,,,,
37,06/11/25 12:00:00  AM,24.351,0.0,,,,
38,06/11/25 01:00:00  AM,24.545,0.0,,,,
39,06/11/25 02:00:00  AM,24.545,0.0,,,,
40,06/11/25 03:00:00  AM,24.351,0.0,,,,
41,06/11/25 04:00:00  AM,24.062,0.0,,,,
42,06/11/25 05:00:00  AM,23.773,0.0,,,,
43,06/11/25 06:00:00  AM,23.773,86.1,,,,
44,06/11/25 07:00:00  AM,22.429,678.1,,,,
45,06/11/25 08:00:00  AM,22.525,2927.8,,,,
46,06/11/25 09:00:00  AM,24.062,4477.8,,,,
47,06/11/25 10:00:00  AM,26.585,8266.7,,,,
48,06/11/25 11:00:00  AM,28.159,6200.0,,,,
49,06/11/25 12:00:00  PM,29.552,4994.5,,,,
50,06/11/25 01:00:00  PM,30.760,7233.4,,,,
51,06/11/25 02:00:00  PM,31.778,8266.7,,,,
52,06/11/25 03:00:00  PM,31.880,6200.0,,,,
53,06/11/25 04:00:00  PM,31.268,4822.3,,,,
54,06/11/25 05:00:00  PM,30.862,7233.4,,,,
55,06/11/25 06:00:00  PM,29.752,1550.0,,,,
56,06/11/25 07:00:00  PM,29.452,559.7,,,,
