"control","night_warming","day_warming","whole_day_warming"
181.935462783333,196.221177069048,217.649748497619,206.935462783333
176.114898366667,193.972041223809,208.257755509524,201.114898366667
170.29433395,191.722905378571,198.865762521429,195.29433395
164.473769533333,189.473769533333,189.473769533333,189.473769533333
158.653205116667,187.224633688095,180.081776545238,183.653205116667
152.8326407,184.975497842857,170.689783557143,177.8326407
147.012076283333,182.726361997619,161.297790569048,172.012076283333
141.191511866667,180.477226152381,151.905797580952,166.191511866667
135.37094745,178.228090307143,142.513804592857,160.37094745
129.550383033333,175.978954461905,133.121811604762,154.550383033333
123.729818616667,173.729818616667,123.729818616667,148.729818616667
131.8786088,176.8786088,136.8786088,156.8786088
140.027398983333,180.027398983333,150.027398983333,165.027398983333
148.176189166667,183.176189166667,163.176189166667,173.176189166667
156.32497935,186.32497935,176.32497935,181.32497935
164.473769533333,189.473769533333,189.473769533333,189.473769533333
172.622559716667,192.622559716667,202.622559716667,197.622559716667
180.7713499,195.7713499,215.7713499,205.7713499
188.920140083333,198.920140083333,228.920140083333,213.920140083333
197.068930266667,202.068930266667,242.068930266667,222.068930266667
205.21772045,205.21772045,255.21772045,230.21772045
199.397156033333,202.968584604762,245.825727461905,224.397156033333
193.576591616667,200.719448759524,236.43373447381,218.576591616667
187.7560272,198.470312914286,227.041741485714,212.7560272
181.935462783333,196.221177069048,217.649748497619,206.935462783333
176.114898366667,193.972041223809,208.257755509524,201.114898366667
170.29433395,191.722905378571,198.865762521429,195.29433395
164.473769533333,189.473769533333,189.473769533333,189.473769533333
158.653205116667,187.224633688095,180.081776545238,183.653205116667
152.8326407,184.975497842857,170.689783557143,177.8326407
147.012076283333,182.726361997619,161.297790569048,172.012076283333
141.191511866667,180.477226152381,151.905797580952,166.191511866667
135.37094745,178.228090307143,142.513804592857,160.37094745
129.550383033333,175.978954461905,133.121811604762,154.550383033333
123.729818616667,173.729818616667,123.729818616667,148.729818616667
131.8786088,176.8786088,136.8786088,156.8786088
140.027398983333,180.027398983333,150.027398983333,165.027398983333
148.176189166667,183.176189166667,163.176189166667,173.176189166667
156.32497935,186.32497935,176.32497935,181.32497935
164.473769533333,189.473769533333,189.473769533333,189.473769533333
172.622559716667,192.622559716667,202.622559716667,197.622559716667
180.7713499,195.7713499,215.7713499,205.7713499
188.920140083333,198.920140083333,228.920140083333,213.920140083333
197.068930266667,202.068930266667,242.068930266667,222.068930266667
205.21772045,205.21772045,255.21772045,230.21772045
199.397156033333,202.968584604762,245.825727461905,224.397156033333
193.576591616667,200.719448759524,236.43373447381,218.576591616667
187.7560272,198.470312914286,227.041741485714,212.7560272
181.935462783333,196.221177069048,217.649748497619,206.935462783333
176.114898366667,193.972041223809,208.257755509524,201.114898366667
170.29433395,191.722905378571,198.865762521429,195.29433395
164.473769533333,189.473769533333,189.473769533333,189.473769533333
158.653205116667,187.224633688095,180.081776545238,183.653205116667
152.8326407,184.975497842857,170.689783557143,177.8326407
147.012076283333,182.726361997619,161.297790569048,172.012076283333
141.191511866667,180.477226152381,151.905797580952,166.191511866667
135.37094745,178.228090307143,142.513804592857,160.37094745
129.550383033333,175.978954461905,133.121811604762,154.550383033333
123.729818616667,173.729818616667,123.729818616667,148.729818616667
131.8786088,176.8786088,136.8786088,156.8786088
140.027398983333,180.027398983333,150.027398983333,165.027398983333
148.176189166667,183.176189166667,163.176189166667,173.176189166667
156.32497935,186.32497935,176.32497935,181.32497935
164.473769533333,189.473769533333,189.473769533333,189.473769533333
172.622559716667,192.622559716667,202.622559716667,197.622559716667
180.7713499,195.7713499,215.7713499,205.7713499
188.920140083333,198.920140083333,228.920140083333,213.920140083333
197.068930266667,202.068930266667,242.068930266667,222.068930266667
205.21772045,205.21772045,255.21772045,230.21772045
199.397156033333,202.968584604762,245.825727461905,224.397156033333
193.576591616667,200.719448759524,236.43373447381,218.576591616667
187.7560272,198.470312914286,227.041741485714,212.7560272
181.935462783333,196.221177069048,217.649748497619,206.935462783333
176.114898366667,193.972041223809,208.257755509524,201.114898366667
170.29433395,191.722905378571,198.865762521429,195.29433395
164.473769533333,189.473769533333,189.473769533333,189.473769533333
158.653205116667,187.224633688095,180.081776545238,183.653205116667
152.8326407,184.975497842857,170.689783557143,177.8326407
147.012076283333,182.726361997619,161.297790569048,172.012076283333
141.191511866667,180.477226152381,151.905797580952,166.191511866667
135.37094745,178.228090307143,142.513804592857,160.37094745
129.550383033333,175.978954461905,133.121811604762,154.550383033333
123.729818616667,173.729818616667,123.729818616667,148.729818616667
131.8786088,176.8786088,136.8786088,156.8786088
140.027398983333,180.027398983333,150.027398983333,165.027398983333
148.176189166667,183.176189166667,163.176189166667,173.176189166667
156.32497935,186.32497935,176.32497935,181.32497935
164.473769533333,189.473769533333,189.473769533333,189.473769533333
172.622559716667,192.622559716667,202.622559716667,197.622559716667
180.7713499,195.7713499,215.7713499,205.7713499
188.920140083333,198.920140083333,228.920140083333,213.920140083333
197.068930266667,202.068930266667,242.068930266667,222.068930266667
205.21772045,205.21772045,255.21772045,230.21772045
199.397156033333,202.968584604762,245.825727461905,224.397156033333
193.576591616667,200.719448759524,236.43373447381,218.576591616667
187.7560272,198.470312914286,227.041741485714,212.7560272
181.935462783333,196.221177069048,217.649748497619,206.935462783333
176.114898366667,193.972041223809,208.257755509524,201.114898366667
170.29433395,191.722905378571,198.865762521429,195.29433395
164.473769533333,189.473769533333,189.473769533333,189.473769533333
158.653205116667,187.224633688095,180.081776545238,183.653205116667
152.8326407,184.975497842857,170.689783557143,177.8326407
147.012076283333,182.726361997619,161.297790569048,172.012076283333
141.191511866667,180.477226152381,151.905797580952,166.191511866667
135.37094745,178.228090307143,142.513804592857,160.37094745
129.550383033333,175.978954461905,133.121811604762,154.550383033333
123.729818616667,173.729818616667,123.729818616667,148.729818616667
131.8786088,176.8786088,136.8786088,156.8786088
140.027398983333,180.027398983333,150.027398983333,165.027398983333
148.176189166667,183.176189166667,163.176189166667,173.176189166667
156.32497935,186.32497935,176.32497935,181.32497935
164.473769533333,189.473769533333,189.473769533333,189.473769533333
172.622559716667,192.622559716667,202.622559716667,197.622559716667
180.7713499,195.7713499,215.7713499,205.7713499
188.920140083333,198.920140083333,228.920140083333,213.920140083333
197.068930266667,202.068930266667,242.068930266667,222.068930266667
205.21772045,205.21772045,255.21772045,230.21772045
199.397156033333,202.968584604762,245.825727461905,224.397156033333
193.576591616667,200.719448759524,236.43373447381,218.576591616667
187.7560272,198.470312914286,227.041741485714,212.7560272
181.935462783333,196.221177069048,217.649748497619,206.935462783333
176.114898366667,193.972041223809,208.257755509524,201.114898366667
170.29433395,191.722905378571,198.865762521429,195.29433395
164.473769533333,189.473769533333,189.473769533333,189.473769533333
158.653205116667,187.224633688095,180.081776545238,183.653205116667
152.8326407,184.975497842857,170.689783557143,177.8326407
147.012076283333,182.726361997619,161.297790569048,172.012076283333
141.191511866667,180.477226152381,151.905797580952,166.191511866667
135.37094745,178.228090307143,142.513804592857,160.37094745
129.550383033333,175.978954461905,133.121811604762,154.550383033333
123.729818616667,173.729818616667,123.729818616667,148.729818616667
131.8786088,176.8786088,136.8786088,156.8786088
140.027398983333,180.027398983333,150.027398983333,165.027398983333
148.176189166667,183.176189166667,163.176189166667,173.176189166667
156.32497935,186.32497935,176.32497935,181.32497935
164.473769533333,189.473769533333,189.473769533333,189.473769533333
172.622559716667,192.622559716667,202.622559716667,197.622559716667
180.7713499,195.7713499,215.7713499,205.7713499
188.920140083333,198.920140083333,228.920140083333,213.920140083333
197.068930266667,202.068930266667,242.068930266667,222.068930266667
205.21772045,205.21772045,255.21772045,230.21772045
199.397156033333,202.968584604762,245.825727461905,224.397156033333
193.576591616667,200.719448759524,236.43373447381,218.576591616667
187.7560272,198.470312914286,227.041741485714,212.7560272
181.935462783333,196.221177069048,217.649748497619,206.935462783333
176.114898366667,193.972041223809,208.257755509524,201.114898366667
170.29433395,191.722905378571,198.865762521429,195.29433395
164.473769533333,189.473769533333,189.473769533333,189.473769533333
158.653205116667,187.224633688095,180.081776545238,183.653205116667
152.8326407,184.975497842857,170.689783557143,177.8326407
147.012076283333,182.726361997619,161.297790569048,172.012076283333
141.191511866667,180.477226152381,151.905797580952,166.191511866667
135.37094745,178.228090307143,142.513804592857,160.37094745
129.550383033333,175.978954461905,133.121811604762,154.550383033333
123.729818616667,173.729818616667,123.729818616667,148.729818616667
131.8786088,176.8786088,136.8786088,156.8786088
140.027398983333,180.027398983333,150.027398983333,165.027398983333
148.176189166667,183.176189166667,163.176189166667,173.176189166667
156.32497935,186.32497935,176.32497935,181.32497935
164.473769533333,189.473769533333,189.473769533333,189.473769533333
172.622559716667,192.622559716667,202.622559716667,197.622559716667
180.7713499,195.7713499,215.7713499,205.7713499
188.920140083333,198.920140083333,228.920140083333,213.920140083333
197.068930266667,202.068930266667,242.068930266667,222.068930266667
205.21772045,205.21772045,255.21772045,230.21772045
199.397156033333,202.968584604762,245.825727461905,224.397156033333
193.576591616667,200.719448759524,236.43373447381,218.576591616667
187.7560272,198.470312914286,227.041741485714,212.7560272
181.935462783333,196.221177069048,217.649748497619,206.935462783333
176.114898366667,193.972041223809,208.257755509524,201.114898366667
170.29433395,191.722905378571,198.865762521429,195.29433395
164.473769533333,189.473769533333,189.473769533333,189.473769533333
158.653205116667,187.224633688095,180.081776545238,183.653205116667
152.8326407,184.975497842857,170.689783557143,177.8326407
147.012076283333,182.726361997619,161.297790569048,172.012076283333
141.191511866667,180.477226152381,151.905797580952,166.191511866667
135.37094745,178.228090307143,142.513804592857,160.37094745
129.550383033333,175.978954461905,133.121811604762,154.550383033333
123.729818616667,173.729818616667,123.729818616667,148.729818616667
131.8786088,176.8786088,136.8786088,156.8786088
140.027398983333,180.027398983333,150.027398983333,165.027398983333
148.176189166667,183.176189166667,163.176189166667,173.176189166667
156.32497935,186.32497935,176.32497935,181.32497935
164.473769533333,189.473769533333,189.473769533333,189.473769533333
172.622559716667,192.622559716667,202.622559716667,197.622559716667
180.7713499,195.7713499,215.7713499,205.7713499
188.920140083333,198.920140083333,228.920140083333,213.920140083333
197.068930266667,202.068930266667,242.068930266667,222.068930266667
205.21772045,205.21772045,255.21772045,230.21772045
199.397156033333,202.968584604762,245.825727461905,224.397156033333
193.576591616667,200.719448759524,236.43373447381,218.576591616667
187.7560272,198.470312914286,227.041741485714,212.7560272
181.935462783333,196.221177069048,217.649748497619,206.935462783333
176.114898366667,193.972041223809,208.257755509524,201.114898366667
170.29433395,191.722905378571,198.865762521429,195.29433395
164.473769533333,189.473769533333,189.473769533333,189.473769533333
158.653205116667,187.224633688095,180.081776545238,183.653205116667
152.8326407,184.975497842857,170.689783557143,177.8326407
147.012076283333,182.726361997619,161.297790569048,172.012076283333
141.191511866667,180.477226152381,151.905797580952,166.191511866667
135.37094745,178.228090307143,142.513804592857,160.37094745
129.550383033333,175.978954461905,133.121811604762,154.550383033333
123.729818616667,173.729818616667,123.729818616667,148.729818616667
131.8786088,176.8786088,136.8786088,156.8786088
140.027398983333,180.027398983333,150.027398983333,165.027398983333
148.176189166667,183.176189166667,163.176189166667,173.176189166667
156.32497935,186.32497935,176.32497935,181.32497935
164.473769533333,189.473769533333,189.473769533333,189.473769533333
172.622559716667,192.622559716667,202.622559716667,197.622559716667
180.7713499,195.7713499,215.7713499,205.7713499
